,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
1356,2,Ayuda a comunidades indígenas a hacer su propia producción de artesanías,2000000,Artesanías en Zongolica,Fallido,Veracruz-Llave,118,Claudio Ruiz Velasco Rivera Melo,Artesanía
1357,2,Live Stream/Uploaded Online  Circus/Fire Performances and Workshops during the quarantine time and not being able to perform anywhere!,30000,Quarantine Fire-Circus Entertainment!,Fallido,Quintana Roo,118,Christian Trujeque/Kinich Balam Ahau,Arte
1358,2,Grad ceremony in minecraft,12000,Giant Minecraft Server For a Massive Graduation,En curso,Baja California,118,LuisCarlos Larios,Juegos
1359,2,El país depende del bien estar de nuestra familia y depende de darle un lugar donde vivir y soñar a 9 millones de personas pobres.,1500000,"Cubi, !Que 9 millones tengan la casa de sus sueños¡",Fallido,Baja California,118,EON,Diseño
1360,2,Investigación y desarrollo para serie de obras de arte basadas estéticamente en las ruinas como representación del tiempo y la memoria.,100000,Prótesis de nuestra memoria,Fallido,Distrito Federal,118,Lucas Torres,Arte
1361,2,"Vita, es una historia de ciencia ficción, con base en historias sobre criaturas malignas ( demonios) y divinas.",10000,Vita: La Unión de Vida y Muerte.,Fallido,Baja California,118,Arturo Aranjo,Cómic
1362,2,"Innovate a method to execute the business strategy through capabilities and resources, help Business improve their results and survive",625000,"STRATEXCAP, EJECUCIÓN DE LA ESTRATEGIA (Canceled)",Cancelado,Jalisco,118,Javier Mateos Escamilla,Editorial
1363,2,"Un libro para"" hacer el amor con palabras"", con piropos y refranes, y muchas fotografías.\r
Book to reflect on ""making love with words"".",580000,"HAZME EL MILAGRITO, PIROPOS Y REFRANES",Fallido,Distrito Federal,118,MARIA GUADALUPE CEVALLOS ALMADA,Editorial
1364,2,esta es una serie de accion a largo plazo que es dirigido a un publico tanto como infantil como familiar y general,200000,SERIE DE ACCION DE SUPERHEROES,Fallido,Yucatan,118,James Morales Castillo,Cine y video
1365,2,Cumplir un gran sueño al crear un Demo en el cual pueda transmitir emociones y llegar al corazón de muchas personas.,35000,Demo de covers y canciones pop inéditas.,Fallido,Veracruz-Llave,118,Josmar Canché,Música
1366,2,EL COLOR DE LA FE es una revista mensual dedicada a las costumbres y tradiciones de México y latinoamérica.,30000,EL COLOR DE LA FE,Fallido,Distrito Federal,118,Diego Rodarte,Editorial
1367,2,A couple who love what is foreign is dedicated to perpetuating great thefts in a discreet way. Everything flows well until they fall.,300000,CRIMINAL COUPLE,Fallido,Distrito Federal,117,Amaury Campos (deleted),Cine y video
1368,2,Soy Oscar Y estoy en busca de la financiación para el lanzamiento mundial de mi álbum en plataformas digitales!,10000,Oscar Treviño! Grabemos Un Disco!,Fallido,Coahuila de Zaragoza,110,Oscar Treviño,Música
1369,2,"MI proyecto consiste en construir un café literario, en donde la juventud se llene de cultura. en México necesitamos más espacios así.",200000,"café, arte y cultura, café literario, aquí se sirve cultura",Fallido,Puebla,110,JONATAN ALMEIDA JUAREZ,Arte
1370,2,"UTO Zhombis is a beautiful action-hack n' slash-Hooker indie game inspired by Metal Slug, Attack on Titan, Rareware's games.",70000,UTO Zhombis,Fallido,Hidalgo,100,José Alfredo Ramírez Muñoz,Juegos
1371,2,Primera revista mexicana enfocada en el crecimiento financiero de nuestros lectores. Contribuimos a forjar una mejor salud financiera,89990,Revista Dinero y Salud Financiera,Fallido,Yucatan,100,Mario Alejandro Castro Ayora,Editorial
1372,2,A virtual-YouTuber show meant to spread happiness,200000,Virtual-YouTuber Mischa,En curso,Zacatecas,88,Mischa,Cine y video
1373,2,Serie animada de filosofía con niños,60000,Fili pregunta,Fallido,Distrito Federal,68,Liliana García,Cine y video
1374,2,Tatuajes. Estamos preparando una gira de trabajo de un mes en 3 localidades (y a donde nos quieran llevar) para compartir nuestro arte.,60000,Viajando y Tatuando,Fallido,Puebla,68,HydraHex,Arte
1375,2,"Create a non-profit company to teach music to children from orphanges and children's homes in Mexico, and also to produce music.",300000,Children's Choir Music Production Company Non-Profit,Fallido,Yucatan,68,Joaquin Matus,Música
1376,2,"Un hombre atrapado en el baño de mujeres... ¿Suerte o tortura?
La comedia más divertida del año te necesita para su esperado estreno.",18800,"¡Sal del closet... perdón, del baño!",Fallido,Distrito Federal,60,Juan Francisco Yáñez,Teatro
1377,2,"Impulsando la carrera de mi artista, busco gente que nos ayude a este proyecto.",30000,Arte para todos mediante la música,Fallido,Distrito Federal,58,Jonathan García Hidalgo,Música
1378,2,Thanks for your support !,10,Urban cards: Make a postcards to a book,Exitoso,Distrito Federal,50,Book Design Games Video STL 3D RAW RPGs,Cómic
1379,2,Diferentes historias basadas en leyendas de estados de Mexico,59600,TERROR MEXICANO,Fallido,Baja California,43,Abraham Alvarez Del Rio,Editorial
1380,2,"Estamos desarrollando un juego divertido y entretenido para todos, prepara tu celular android para la mejor experiencia de su vida.",700,RoynezStudios / proyect1: ¡¡no mi taco!!,Fallido,Veracruz-Llave,38,Juan Jose Roynez,Juegos
1381,2,Un video juego sobre niños que van cruzando la calle obedeciendo señales de tránsito; saltando obstáculos y almacenando puntos.,150000,Transit Kid,Fallido,Guanajuato,38,Transit Kid,Juegos
1382,2,New and fun game of marbles (PRINTABLE FILES),9000,Marble Launcher 3000 (CUIRIAS),Fallido,Baja California,37,Ricardo Heres M. (SOMNIANS),Juegos
1383,2,Una compañía (casa) de drag dedicada a la divulgación de la ciencia en México. A drag house committed with science div in Mexico. Loo,5000,Haus of Science,Fallido,Baja California Sur,36,Santiago Rovira Plancarte,Teatro
1384,2,"Proyecto de excavación arqueológica,para identificar mediante los restos, la variedad de plantas y alimentos usados en la subsistencia.",35000,"Arqueobotánica del Grupo Limón de Palenque, Chiapas",Fallido,Chiapas,35,Benito Venegas Durán (deleted),Editorial
1385,2,Arte Ecológico. Figuras de Papel Maché usando material reciclado.,20000,Cassievaches. Arte Ecológico. Figuras de Papel Maché.,Fallido,Mexico,33,Casandra,Arte
1386,2,We want to start a new concept in the northern part of Mexico educating the dance floor about house music,6000,Origins of house in the dance floor,Fallido,Nuevo Leon,33,Saúl,Música
1387,2,Videojuego sobre el cuidado y saneamiento del agua.,300000,Water Hunters,Fallido,Guanajuato,33,Water Hunters,Juegos
1388,2,"El inicio de un proyecto que significa ganar-ganar. Mejoramos nuestra producción con su ayuda, mientras nos esforzamos en entretener.",15000,Podcast: CuatesEnDebates,Fallido,Nuevo Leon,33,Carlos Cisneros,Editorial
1389,2,"planeo hacer una serie animada súbitamente espectacular, como si fuera un anime. Ya tengo un guion, falta dinero para tener lo demás.",1000000,"Proyecto ""La espada del ancestro""",Fallido,Distrito Federal,30,Thelibrary,Cine y video
1390,2,"Una linea de mascaras, props para cosplay, sacadas de videojuegos o películas, realizadas con tecnicas como el papercraft.",7000,Mascaras y props,Fallido,Nuevo Leon,29,All's tom's,Arte
1391,2,"Help us create great music videos for dj Pagedmoth.
https://open.spotify.com/artist/6CTjBSqyLGCYlV4W27PYHC",5000,Pagedmoth,Fallido,Distrito Federal,29,Sofía Hnidey (deleted),Cine y video
1392,2,Serie Animada que relata las aventuras de 5 Chicos skaters de secundaria,40000,Serie Animada AWANTA WEE (skateboarding),Fallido,Baja California,29,Jesus Carreon Muñoz,Cine y video
1393,2,"Pretendo un proyecto mas especificamente: un libro.
El primero de lo que calculo sera una saga de doce libros.",70000,¡Una saga fantastica!,Fallido,Distrito Federal,28,Ricardo Cortes,Editorial
1394,2,Create specific studies that allow to know and solve the current situation of education in Mexico.,100000,The dream of the education: A story of change,Fallido,Baja California,28,Consejo Interno Unificado De Alumnos,Editorial
1395,2,"Deseo desde hace mucho estudiar Ingenieria en Sistemas Computacionales, y crear mi propio software y apps",249800,Beca Universitaria Tegnologica,Fallido,Sinaloa,28,Manuel Adonay Rueda Jimenez,Editorial
1396,2,El ascenso del alma,25000,El Dimensionista,Fallido,Chihuahua,28,Andres Isaak,Cómic
1397,2,T-shirts to help the world be a better place to live.,50000,kind people,Fallido,Baja California,28,Ricardo Valtierra,Arte
1398,2,Sello discográfico independiente.,10500,ONLY RECORD'S,Fallido,Tamaulipas,28,J Drops,Música
1399,2,"Un Taller de Artesanías y arte sacro, Esculturas, Relieves, Columnas y mucho más!!! Todo 100 % Mexicano",55000,Taller de Artesanías,Fallido,Jalisco,28,Josh_Cast,Arte
1400,2,"Novela tanto para adolescentes y adultos de Sci-FI, Fantástica y Aventuras.
Personajes interesantes y situaciones increíbles.",11200,Dimensiones.,Fallido,Mexico,28,Cesar Antonio Sanchez Gonzalez,Editorial
1401,2,Album musical de electrónica experimental.,3000,NEW ALBUM *Dulce Viaje* Electronic Music,Fallido,Queretaro de Arteaga,28,Nvbe,Música
1402,2,"Concierto inspirado para personas que quieren pasarla bien, disfrutar y vivir el momento.",1499994,Celest,Fallido,Baja California,28,Luis Figueroa,Música
1403,2,Es una obra de Teatro que narra la historia de un joven que padece esta enfermedad mental.,50000,IDENTIDAD MÚLTIPLE,Fallido,Distrito Federal,28,Ruben Dario Quiroz Rios,Teatro
1404,2,Quiero iniciar un pequeño taller de carpintería y diseño de muebles desde básicos para el hogar asta algo personalizado,15000,Taller de madera soto,Fallido,Durango,28,Sergio Soto Madrid,Artesanía
1405,2,Corre el año 2185 y la galaxia se en inmersa en el caos por grupos Terroristas. El Imperio se encargara de devolver la paz y el orden.,5000,EL IMPERIO: Operación Guillotina,Fallido,Quintana Roo,28,Jonathan,Cómic
1406,2,I want to make a professional video for a song of Reggaeton. I'm from Mexico and I don't have enough money for doing that video.  TKYOU,20000,My best musical video and Quality: Latin Urban Music,Fallido,Veracruz-Llave,28,Alfredo Oviña Echevarria,Cine y video
1407,2,Fotografías de animales,6000,Calendario de erizos perros gatos y hámsters,Fallido,Baja California,28,Ulises,Fotografía
1408,2,Revista- Guia Comercial Zona Norte EDOMEX,66200,Publica Facil Revista Guia Comercial,Fallido,Morelos,28,Luis Gustavo Torres Aguirre,Editorial
1409,2,Historia del Estado de sonora y todos sus pueblos,30000,Sonora y sus pueblos,Fallido,Sonora,28,Miguel Ángel,Editorial
1410,2,"Modelo de Coaching Organizacional enfocado a Capacitación y Mejora Continua, del estado actual al estado deseado en las organizaciones.",40000,Libro: Productividad Inteligente,Fallido,Zacatecas,28,José Israel Palomo Chávez,Editorial
1411,2,peluches infantiles personalizados tejidos a mano,20000,unicos y abrazables,Fallido,Distrito Federal,28,rosalina,Artesanía
1412,2,Lo que estamos creando es una serie animada de un adolescente de 15 años un poco odioso y malcriado pero con un gran sentido común,69500,El Batillo- Serie animada,Fallido,Baja California,28,Kevin-Ex Magaña,Cine y video
1413,2,Soy un joven mexicano el cual acaba de descubrir una nueva cara del mundo que lo rodea y quisiera su ayuda para poderla compartir,25000,Proyecto fotográfico sierra norte puebla,Fallido,Puebla,28,Allan,Fotografía
1414,2,"El primer Index dedicado a los contenidos de Youtube.\r
\r
The first Index dedicated to the contents of YouTube.",100000,TopVlog,Fallido,Distrito Federal,20,Victor Hugo Rivero Garcia,Cine y video
1415,1,"Una Película llena de simbolismos, accion misterio,aliens, conspiraciones gubernamentales, viajes temporales y misterio psicológico",3000000,Permafrost: Lost in limits,Fallido,Zacatecas,10000,Jet Tre,Cine y video
1416,1,"Este proyecto lo hago con el fin de grabar y maquilar mi primer disco de trova titulado ""Ojos negros"".",40000,Álbum Ojos negros,Fallido,Nuevo Leon,2000,Ángel Torres,Música
1417,1,"Soy un obstinado y apasionado del vidrio. Busco su apoyo para darle nueva vida, mejorar mis procesos técnicos y creativos.",45000,Vitrium para todos,Fallido,Distrito Federal,1500,Oscar,Artesanía
1418,1,"Changing my own world to change the whole world,  not everyone has courage enough to live life doing what you love with all your heart",70000,Building a life i don't need vacation from,Fallido,Baja California,1350,Diego Gutiérrez,Arte
1419,1,"Un canal que produce series de ficción.  Necesitamos apoyo para producir la primera de ellas, Hombres de Paja; constará de 7 capítulos.",150000,HaceCines Seriales. Canal de series.,Fallido,Distrito Federal,1000,HaceCines Seriales,Cine y video
1420,1,Una comedia musical de Broadway del escritor de “Gossip Girl” llega a la CDMX México. Ven con Aaron y Casey a su primera cita.,50000,Primera Cita el musical (First Date the musical),Fallido,Distrito Federal,1000,Emilio Wriedt,Teatro
1421,1,"Imaginarium busca llevar ETROX; obra coreográfica interdisciplinaria de ciencia ficción, al festival de teatro de Sheki en Azerbaiyán.",62780,Imaginarium cruza el mundo con ETROX Danza Ficción,Fallido,Veracruz-Llave,1000,Dante Uriel Mancilla Lorenzo,Teatro
1422,1,"We are dedicated to the development of fashion handmade necklaces, we use natural seeds to conserve the environment.",10000,MADE WITH SEEDS (Canceled),Cancelado,Veracruz-Llave,900,Libia Hernandez Vargas,Artesanía
1423,1,Proyecto teatral dirigido por Martín Acosta que habla y reflexiona sobre el amor y su naturaleza.,30000,LOPE ENAMORADO,Fallido,Distrito Federal,800,Fitón Teatro,Teatro
1424,1,"PROYECTO MUSICAL DEDICADO A CANTAR AL AMOR Y AL DESAMOR, LETRAS FRESCAS Y DIGERIBLES, CONCEPTO ROCK POP",100000,MONTIEL CD,Fallido,Morelos,700,MOISES GONZALEZ MONTIEL,Música
1425,1,"Fuimos seleccionados para participar este año en el FIVAC en Gto. Nosotros somos de CDMX y necesitamos recursos para hospedaje,viáticos",8000,Presentación de Zimbabwe México en el Cervantino,Fallido,Distrito Federal,600,Jorge Fabian,Música
1426,1,Translate to Spanish and edit 100 copies of book Recursive Frame Analysis: A Practitioner's Tool for Mapping Therapeutic Conversation,75000,Translate to Spanish of book: Recursive Frame Analysis,Fallido,Queretaro de Arteaga,600,Juan Carlos García Jiménez,Editorial
1427,1,La diversión en familia es posible en las comunidades con el cine móvil Ohana.,650000,Cine movil Ohana,Fallido,Campeche,500,Nelly Fabiola Torres Jimenez,Cine y video
1428,1,"Hola, soy Ricardo Castillo cantautor campechano, tras años de amor a la música he decidido crear mi primer EP, y tu puedes ser parte...",10000,Construyendo Nuestro Castillo,Fallido,Campeche,500,Ricardo Antonio Castillo,Música
1429,1,"New Shonen webcomic with 40+ full color pages able online now, and hoping to continue with the making of the 2nd volume with your help.",1300000,"Evolutive Reaction FREE webcomic, 2nd volume needs your help",Fallido,Jalisco,500,Josue Romo,Cómic
1430,1,"Mi banda ""Alliance & Tyranny"" busca apoyo para poder financiar nuestro segundo EP el cual incluye 6 canciones inéditas.",9500,Grabación de disco independiente,Fallido,Baja California,500,Oscar Eduardo Gutiérrez Sosa,Música
1431,1,Marcas emergentes de Chiapas que crean productos de gran calidad pero requieren apoyo en diseño de su imagen para ser más competitivas,75000,Chiapas Emergente,Fallido,Chiapas,500,Carlos Lopez,Diseño
1432,1,"The objective is to portray the natural wonders of southern México, and that this beauty promotes its conservation.",40000,Photography project for the conservation of nature,Fallido,Chiapas,450,Jorge Alexis Figueroa Hernandez,Fotografía
1433,1,"Somos Teatro Cuerda Floja de Durango, México y con tu apoyo viajaremos a Belo Horizonte, Brasil al Festival de Teatro en Miniatura 2017",50000,Cajas Mágicas de Teatro Cuerda Floja,Fallido,Baja California,300,Cuerda Floja,Teatro
1434,1,"Un cortometraje con mensaje de vida, esperanza . Dos luchadores y una pintora  intentarán sobrevivir y alcanzar sus sueños.",50000,polvo de sueños,Fallido,Distrito Federal,200,Iliana So,Cine y video
1435,1,Mexico Creates: Explore the ancient and mysterious Mayan cities in this immersive 3D world!,10000,Ancient Mayan Empires - VR Experience (Canceled),Cancelado,Campeche,200,Enrique R. (deleted),Diseño
1436,1,Festival de Cine hecho por estudiantes de bachillerato y universitarios que busca fomentar la exhibición de cine en el circuito juvenil,90000,Cecehachero Film Fest 3,Fallido,Distrito Federal,200,Hector Javier González Ibarra,Cine y video
1437,1,Soy un músico tapatío... busco grabar el primer EP de mi carrera para preparar la llegada de los primeros 10 años de carrera,20000,Tony Velázquez... el album,Fallido,Baja California,200,Tony Velázquez,Música
1438,1,Festival Internacional temático que celebra la identidad y la condición humana a través de pinturas vivientes.,50000,Festival Internacional de Body Paint en México,Fallido,Tabasco,200,Darcy Eugenia Santos Girón,Arte
1439,1,Serie animada que contará la vida escolar de una estudiante de preparatoria.,28000,Cruel Destino-Amigos Especiales,Fallido,Distrito Federal,200,Boina Roja Studios,Cine y video
1440,1,"Éste es un cortometraje escolar, forma parte de nuestra tesis universitaria y necesitamos financiarla. ¡APOYANOS!",25000,EL CAMINO DE LA VOLUNTAD - SHORT FILM,Fallido,Baja California,200,Gustavo,Cine y video
1441,1,Una banda que fusiona el New Orleans Jazz con Pop y letras triviales en español. Ayudanos a realizar este proyecto!!,40000,FouKazoo: New Orleans Mexicano (Canceled),Cancelado,Veracruz-Llave,200,Ricardo Uresti (deleted),Música
1442,1,"I have the ideas, I have a team, I just need your help./ Tengo las ideas, tengo un equipo, solo necesito tu ayuda.",1557562,PRODUCING SHORT AND LONG FILMS,Fallido,Puebla,187,AshAlan,Cine y video
1443,1,"We want to share and demonstrate, through art, the values of identity and biodiversidad of five indigenous communities of Chiapas.",200000,"A través del arte "" Identidad y Bíodiversidad de Chiapas"".",Fallido,Chiapas,150,Magda Betina Alcántara Elizalde,Arte
1444,1,"Mi nombre es Alejandro y hace mas de 5 años toco la guitarra, hace 3 años escribía canciones, mi sueño es mi homestudio y grabarlas",10000,Sueña: Grabando canciones de mi autoria,Fallido,Nuevo Leon,150,Erick Alejandro Montes Mtz,Música
1445,1,Somos G-90 grupo​ integrado por 4 jovenes talentosos en busca de poder compartir nuestra musica​ con el mundo entero.,100000,G-90,Fallido,Baja California,100,Jonatan Ortiz,Música
1446,1,"Revista digital del estado de Querétaro,dedicada a la escena musical local, abarcando diferentes géneros,como artistas de todo tipo.",40000,"Reload Music Media ""Recargando la Escena"" / Reload The Scene",Fallido,Queretaro de Arteaga,100,Reload Music Media,Editorial
1447,1,"Crear una serie para internet, sobre un joven que impulsa a un grupo de jóvenes que se ayudan a resolver sus problemas entre sí...",20000,Que se siente ser yo...,Fallido,Quintana Roo,100,Manuel De Jesús Segovia Chavez,Cine y video
1448,1,Iniciativa independiente que reúne a jóvenes músicos del país para conformar una gran orquesta sinfónica.,10000,Apoya al Festival Nacional de Orquestas Juveniles,Fallido,Quintana Roo,100,Ulises Vega Morales,Música
1449,1,Crear y  componer música electrónica,40000,Blue Boy,Fallido,Baja California,100,Héctor Eliud,Música
1450,1,It’s an free to play space-based endless runner with gravity and other crazy mechanics.,4000,Star Chaser,Fallido,Queretaro de Arteaga,100,Josue,Juegos
1451,1,"Libro recogiendo todas las experiencias, consejos y momentos que he vivido como mamá, MILLENIAL, desde el embarazo hasta ahora",40000,Soy mamá millennial (y no hemos muerto en el intento),Fallido,Distrito Federal,100,Andy González García,Editorial
1452,1,"""Esas Viejas Heridas"" adaptacion del Pelicano de Strindberg se va a Los Angeles al festival internacional de teatro.",25000,Esas Viejas Heridas se va a Los Angeles,Fallido,Distrito Federal,100,Luis Castilleja,Teatro
1453,1,"We're a handcrafter community from Chiapas, we are trying to spread out our products to the entire world",15000,From Mexico to the world,Fallido,Chiapas,100,Jorge Eduardo,Artesanía
1454,1,"A collection of classic portraits that show they natural beauty & can be whatever they want, something forgotten these days.",120000,Drawings of Women's Day,Fallido,Baja California,100,Jesús Alvarado,Arte
1455,1,No hay manera mas exquisita de expresar los sentimientos reprimidos del alma que con el arte.,2330000,"Rescatando la pintura, el teatro y la literatura.",Fallido,Distrito Federal,100,Eduardo Segovia Gonzalez,Arte
1456,1,"Explore the ancient and mysterious Mayan cities, explore this immersive 3D world!",10000,ANCIENT MAYAN CITIES - VIRTUAL EXPERIENCE (Canceled),Cancelado,Campeche,100,Enrique R. (deleted),Diseño
1457,1,"La Central es una revista que presenta por medio del diseño vintage y kitch una opción para ubicar mejor lo que Mérida Yucatán ofrece,",100000,"Revista ""La Central""",Fallido,Yucatan,100,Cecilia Canseco Cruz,Editorial
1458,1,"¡#May quiere ir a  tu ciudad! 
Ayúdanos a recaudar para una gira alrededor de la república y que este proyecto ¡CREZCA!",25000,¡Vamos de Gira! @SomosMay,Fallido,Distrito Federal,100,Somos May,Música
1459,1,Proyecto fotográfico sobre un trabajo artesanal muy poco conocido a nivel nacional e internacional.,75000,A veces soy como el río... Cribadores.,Fallido,Tamaulipas,100,Eurípides Rendón Castillo,Fotografía
1460,1,"Videografías de la danza es la  primera videoteca de danza con producciones propias, que preserva este patrimonio artistíco en México.",190000,Videografías de la Danza,Fallido,Distrito Federal,100,Diorama Arte y Escena,Arte
1461,1,"trabajo artístico de Anuar P.J. poemas, cuentos, cartas e ilustraciones propias y donadas, proyecto 100% autogestivo necesito recursos",3000,poesía existencialista para el fin del mundo... Exhotermick,Fallido,Distrito Federal,100,anuar arturo prieto jiménez,Editorial
1462,1,"Somos un estudio creativo, que busca proveer a emprendedores la imagen que necesitan para consolidar su negocio.",200000,Innuendo Digital Media Lab,Fallido,Baja California,50,Julian Miguel Juarez,Cine y video
1463,1,"Se busca fondear la producción de la adaptación al teatro de una obra mágica de Jorge Luis Borges: ""La Casa de Asterión"".",10000,La Casa de Asterión de J.L. Borges - Microteatro (Canceled),Cancelado,Distrito Federal,50,Luis Fernández,Teatro
1464,1,Somos un equipo de eSpots independiente que busca convertirse en profesionales y en este caso requerimos un poco de su apoyo.,77000,OneForAll (Independent Competitive Team),Fallido,Veracruz-Llave,50,Ángel Pérez Arevalo,Juegos
1465,1,Somos un grupo Nuevo de musica cristiana con el anhelo de hacer un album y necesitamos mas equipo para poder llevarlo a cabo.,30000,Compra de Instrumentos Y Equipo de Grabación Musical,Fallido,Michoacan de Ocampo,22,Brayham Morales Sanchez,Música
1466,1,"Huuh radio es una nueva propuesta de contenido stream en formato de radio programa 100% digital, 100% en Internet.",35000,HUUH RADIO,Fallido,Quintana Roo,21,Néstor Velázquez,Editorial
1467,1,"de aguascalientes México.
Agrupación musical enfocada al hip hop.",250000,ETC Crew,Fallido,Aguascalientes,20,Mario Alejandro Alba Gonzalez,Música
1468,1,"Mini serie con temporadas unitarias de historias acerca de viajes en el tiempo.\r
Miniseries with standalone seasons about time travel.",90000,O3 (Ora - Temporada 3),Fallido,Distrito Federal,20,Fernando Moreno,Cine y video
1469,1,"Estamos creando una revista de publicacion mensual, esta revista será online, descargable, sera la mas completa y sera gratuita.",20000,Crazy Mate Magazine,Fallido,Baja California,20,Oscar David Castillo Montero,Arte
1470,1,"Mostrar el Arte como una expresión del alma, las emociones y sentimientos",100000,Arte Expresión Del Alma (Canceled),Cancelado,Baja California,18,Emmanuel Ayala,Arte
1471,1,"i just wanna buy a blackboard from office depot and start uploading chem, math and physics classes to youtube (English/Español)",1399,Virtual Assignments/Asesorías Virtuales,Fallido,Coahuila de Zaragoza,18,Deleo,Editorial
1472,1,A set of wooden pins featuring Yu-gi-oh! protagonists with different types of flowers.,4800,Yu-Gi-Oh! Protagonists Pins Set,En curso,Distrito Federal,18,Nance's Lil Space,Arte
1473,1,An animated short film that combines two 3D and 2D styles. -Un cortometraje animado que combina dos estilos 3D y 2D.,150080,"""SAKURA""",Fallido,Puebla,18,Jorge Flores,Cine y video
1474,1,Abrir una tattoo y barber shop servicio al cliente a un precio justo con trabajo de calidad,35000,Leather art tattoo design & barber shop,Fallido,Chihuahua,18,Arturo Perez,Arte
1475,1,Un cortometraje enfocado en representar el abuso laboral infantil y los riesgos que lleva el robarle la infancia a los menores.,50000,Higher (Más alto),Fallido,Baja California,18,VCB Films,Cine y video
1476,1,Casey and Anna seeks revange on Charlie thourgh his girlfriend for an event from the past that Charlie doesn't even remember,72000,The Nobodies - Short Film - Cortometraje (Canceled),Cancelado,San Luis Potosi,18,Manuel Nájera,Cine y video
1477,1,"Short film about the 80s with violence, love, tragedy and classic music of the time",39000,Borrowed life- the short film,Fallido,Baja California,18,Daniel Martinez,Cine y video
1478,1,"Diseñada para ser tu amiga, tu compañera y tu coach. Tips y tareas  diarias para empoderar a la mujer. Plan de 1 año de transformación.",58000,Agenda Femenina planificador de vida y rastreador de hábitos,Fallido,Mexico,18,Ernesto Aguilar Meza,Diseño
1479,1,Estoy por empezar mi próximo trabajo musical y abro este espacio para que los que quieran apoyarme lo hagan de una manera segura,6500,Yvan con I griega | Trabajo Musical,Fallido,Morelos,18,Jonatan Francisco Fonseca Patlax,Música
1480,1,"Hand-embroidered pictures of pets, Mexican skulls, character faces and mixed face",85000,hand embroidered picture,Fallido,Distrito Federal,18,Carlos Colin Flores,Artesanía
1481,1,Proyecto de música personal (artista independiente),14900,HFS Vol. 2,En curso,San Luis Potosi,18,Federico Golzarri Zugasti,Música
1482,1,"Somos un cuarteto de saxofones que busca grabar un disco para poder asistir a festivales, compartiendo con artistas locales.",17100,"Cuarteto de saxofones, disco colaborativo",Fallido,Chihuahua,18,Julio Rodriguez,Música
1483,1,Estudio musical independiente .,100000,Street Music .,En curso,Mexico,18,abner samano,Música
1484,1,Metal/Dubstep EP with Brutal Drops,12000,Diablo Luna - Pray for Me EP,Fallido,Chihuahua,18,Diablo Rodriguez,Música
1485,1,Paintings that show the good and bad side of an emotion,90000,Sensations (Paint) (Canceled),Cancelado,Distrito Federal,18,Diego Morales,Arte
1486,1,Una película sobre cómo un trastorno psicológico puede llevar a la demencia y la psicopatía.,100000,TÚ Y YO VS ELLOS,Fallido,Nuevo Leon,18,Rodrigo Iván Pérez Soto,Cine y video
1487,1,Animación infantil online,45000,Un cuento de hadas,Fallido,Colima,18,KoriStudio (deleted),Cine y video
1488,1,"La. idea es comercializar artesianas que se pueden hacer en el hogar, pero la falta de tiempo impide a algunos llevarlos a cabo.",17000,Decoraciones para el hogar DIY.,Fallido,San Luis Potosi,18,angel ulises,Artesanía
1489,1,R..... Project,40000,COMIENZO DE PROYECTO MUSICAL DESDE 0 (Canceled),Cancelado,Distrito Federal,18,HECTOR MANUEL,Música
1490,1,SERIE ANIMADA SOBRE EL NIÑO DE MI PEQUEÑO PONY,30000,SERIE DE EL NIÑO DE MY LITLE PONY,Fallido,Baja California,18,Jesus Carreon Muñoz,Cine y video
1491,1,"Posibilidad de grabar un álbum, con canciones propias, así como una vez terminado, maquilado de los mismos.",10000,"Disco WladeK - ""Ahora Que Te Vas""",Fallido,Sonora,18,Christian Ortega,Música
1492,1,"Creation of the official animated video clip of the song PEACE AND LOVE, song that addresses one of the most important topics",200000,creation of the official animated video clip PEACE AND LOVE,Fallido,Guanajuato,18,Ivan Ricardi,Cine y video
1493,1,"El primer filme mexicano protagonizado por una joven con síndrome de down, el dinero recaudado es para contratar un crew de filmación",3000000,Lara,En curso,Jalisco,18,Rodrigo Hernandez leon,Cine y video
1494,1,A 3-day camp where people can share with the great celebrities of digital and traditional art.,163400,Camp Creative Villa,Fallido,Distrito Federal,18,Fernando Mad,Arte
1495,1,Comic sobre temas de magia y ocultismo... y uno que otra leyenda combinadas con textos apócrifos,12500,The Magus tragedy (La tragedia del Magus) Prólogo,En curso,Mexico,18,Omar Yael (Polar),Cómic
1496,1,"Herramienta de inspiración para las micro, pequeñas y medianas empresas que impulsa la creatividad empresarial.",66200,TMRRW: We see the Future,En curso,Distrito Federal,18,Pablo,Editorial
1497,1,Creando códigos financieros de alto valor,30000,Finanzas personales,En curso,Veracruz-Llave,18,D.D Herrera,Editorial
1498,1,"TLALOC. es un proyecto de una sala de videojuegos competitiva, que se basa en la famosa maquina de baile pump it up.",70000,TLALOC,Fallido,Coahuila de Zaragoza,18,RUBEN RAMIREZ ESTADA,Juegos
1499,1,Cortometraje de titulación,4000,FERVOR,Fallido,Michoacan de Ocampo,18,Diego Flores Hernández,Cine y video
1500,1,"Instalación de espejos para nuevo estudio de baile en Juarez, México.",7000,Espejos para estudio de baile.,Fallido,Chihuahua,18,Alejandro Chavez,Danza
