,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
139,LOS MUTANTES DEL PARANÁ,Mutantes Del Parana,Argentina,Los Mutantes del Paraná combinan elementos del rock con folclore de distintos puntos del globo.,2827,123,8900,39,Música
140,ASTRONAUTAS EN LA PLAYA,Marcela Parra,Chile,"Con tu ayuda realizaremos ""Astronautas en la playa""; 1er. LP de Marcela Parra. Esa canción nueva que buscas y no encuentras...¡grabémosla!",15788,122,8700,33,Música
141,PRIMERAS. ASÍ EN PLURAL.,Julieta Longo,Argentina,Libro ilustrado sobre las primeras mujeres que en Argentina hicieron cosas y pelearon por lugares donde antes sólo había varones.,23954,122,3600,112,Editorial
142,ENTRE LAS HOJAS QUE CANTAN,Diente de León,Argentina,La vida de María Elena Walsh en un libro ilustrado.,78256,122,16500,391,Editorial
143,AYÚDANOS A SALIR AL AIRE!,radio LaCentral Radio online,Chile,Somos una radio online hecha a mano. Conversamos de lo cotidiano y con pura buena música. ¡Refresca tu mirada con radio LaCentral!,87633,122,13400,84,Editorial
144,ANUARIO MUTIS 2013,Juan Ignacio Cornejo,Chile,"Para cerrar nuestra primera temporada, queremos compartir lo mejor de nuestro trabajo con un anuario que resume lo mejor del 2013.",20936,122,13700,127,Editorial
145,SEVERINO - TESIS ENERC,Nacho Bollini,Argentina,"En un pequeño pueblo rural, Alejandro ayuda a Severino, su padre, en la absurda búsqueda de su antigua mascota.",11863,121,5900,47,Cine y video
146,PALOMAR,Narce Ruiz,México,Adán buscará desafiar su propio tormento contra viento y agua. Opera prima de Luis R. Garza,72750,121,10500,50,Cine y video
147,GABRIELA BELTRAMINO - SENSES,Gaby Beltramino,Argentina,El material que incluirá mi primer disco ya está terminado y ahora necesito de tu ayuda para materializarlo.,7154,121,10800,99,Música
148,LA MANO DEL PINTOR,María Luque,Argentina,Primera novela gráfica de María Luque sobre el pintor Cándido López y la Guerra del Paraguay.,50752,121,44400,387,Editorial
149,"LIBRO ""LA VIDA ES LINDA""",Linda Guacharaca,Colombia,"Es el primer libro escrito por una perra criolla colombiana que pasó de vivir lisiada y hambrienta en la calle, a recorrer el mundo.",123543,121,23700,216,Editorial
150,LA LEVINA - AGENDA ILUSTRADA,La Levina,Argentina,Crear una agenda perpetua con mis ilustraciones en relación a la danza y cultura latinoamericana.,6739,121,3300,29,Diseño
151,DIARIO DE ALINA REYES.,Pablo Venegas,Chile,"Buscamos financiamiento para montar una obra teatral basada en el cuento ""Lejana"" de Julio Cortázar de manera cuidada y profesional.",12155,121,10100,15,Artes escénicas
152,LA FIERA,La Fiera,Argentina,"Espectáculo teatral con canciones y música en vivo, protagonizado por Iride Mockert, con texto y dirección de Mariano Tenconi Blanco",2779,121,10100,65,Artes escénicas
153,CHA3DMUBI,Alfredo Casero,Argentina,"Quiero que mis seguidores sean parte de la producción de Cha3Dmubi, un proyecto que se mantuvo vivo en mí y ahora vuelve para ellos!",634584,120,111600,703,Artes visuales
154,LUDA EXPOSIÇÃO 2012,Luda Lima,Brasil,"Pessoas, cores, leveza e sentimento! Exposição das aquarelas da ilustradora Luda em São Paulo.",8310,120,4600,43,Artes visuales
155,LIBRONGO,Robertita,Argentina,"Librongo es un libro para colorear, para todo público, que va a ser DONADO a pacientes niños y adultos y adultos mayores",16490,120,34900,295,Artes visuales
156,ROMINA LÓPEZ: LATINOAMERICANAS,Romina López,Argentina,Propongo un repertorio de compositoras mujeres latinoamericanas. La edición física será de una disco-objeto.,13732,120,7300,112,Música
157,DISCO MAMASUTRA,mamasutrabanda,Argentina,"Somos Mamasutra, queremos grabar nuestro primer disco y necesitamos tu ayuda!",11847,120,14700,731,Música
158,HACÉ FELIZ A UN MÚSICO!,salamanca,Argentina,"Necesitamos de tu ayuda para realizar la etapa final de masterización, edición, réplica y difusión de nuestro segundo disco. Sumate!",4918,120,9500,52,Música
159,LEANDRO EN SOLITARIO 1ER DISCO,Leandro en Solitario,Argentina,Ayuda a Leandro en Solitario a grabar su primer disco en estudio! Cualquier duda que tengas escribime a leandrogonzalez@gmail.com,7108,120,4800,38,Música
160,CACHURÚ,Cachurú,Argentina,Cortometraje tesis de la carrera de Diseño de Imagen y Sonido.,5928,120,14800,637,Cine y video
161,PARALELL WORLD,Paralell World,Argentina,El Paralell World necesita equiparse y vos nos podes ayudar.,144300,120,31700,237,Cine y video
162,A/ZETA. GUÍA AL MUNDO DEL CINE,Azetaguia,Argentina,"Un libro que busca promover el interés por el cine histórico, actual y mundial por medio de una escritura e imagen alternativa.",35412,120,28400,145,Cine y video
163,PELÍCULA ALGÚN DÍA LAS RAÍCES,Indómito,Chile,"Inspirada en los últimos días de vida de Matías Catrileo, Weychafe asesinado por la policía chilena en una recuperación territorial Mapuche.",137484,120,35500,87,Cine y video
164,EL PRESIDENTE ROBÓ UN BANCO,Josefa Schultz,Chile,"Obra que busca problematizar temáticas de género, de construcción de identidad y de discriminación sexual y socioeconómica en nuestro país.",8580,120,3300,25,Artes escénicas
165,ARDILLA GIRL: EL LIBRO,anahiurani,Argentina,Libro full color súper deluxe de colección. Lo mejor de ardilla + material nunca antes publicado. Proyecto que impulsa El Carro Ediciones.,7871,120,13400,63,Editorial
166,CHICA FÁCIL Y OTROS CUENTOS DE CRISTINA CIVALE,La Forastera,Argentina,Se trata de un compendio de mis libros de cuentos ya publicados -corregidos y actualizados- más dos libros de cuentos inéditos: Crónicas sui,3946,120,10600,58,Editorial
167,REVISTA TIEMPOS DE A-SOMBRO II,eugesanta,Argentina,"Son tiempos de cambios, de descubrimiento, de apertura, de reversibilidad, de encontrarse. Son Tiempos de A-Sombro.",3392,120,5900,45,Editorial
168,CORTOMETRAJE #PPEC,Erplein Films & Producciones,Chile,Camila decide abortar caseramente siguiendo los consejos de su amiga Liz. Un corto sobre el aborto y las consecuencias de su ilegalidad.,11984,119,6300,36,Cine y video
169,PECERA NUEVO DISCO!,Federico Wiske,Argentina,"Sentimos la música como un espacio de libertad, juego, poesía y experimentación, en donde cada canción lleva un mensaje del alma, amor y paz",11745,119,6600,82,Música
170,ESO QUE LLAMAN AMOR,Victoria Miranda,Argentina,"Eso que llaman amor es un largometraje de comedia dramática, que trata de los grandes desastres que se pueden producir en nombre del amor.",114480,119,20400,111,Cine y video
171,AYUDANOS A EDITAR EL DISCO,Monos de la China,Argentina,"Ya grabamos nuestro 1er disco, nuestro 1er hijo. Ya lo mezclamos y masterizamos. Ahora falta editarlo físicamente. Te necesitamos.. sé parte",7026,119,10000,235,Música
172,LA MEDIDA DEL PEZ EN TUS MANOS,Anamolí,Argentina,"Falta muy poco para que se haga realidad. Podés ser parte comprando el disco anticipadamente, además de llevarte recompensas muy especiales.",7745,118,6700,67,Música
173,¡SÉ PARTE DE MI PRIMER DISCO!,Elizabeth Karayekov,Argentina,Estoy produciendo de forma independiente mi primer disco con mi banda de Rhythm & Blues. ¡Necesito tu ayuda para terminarlo!,4461,118,6700,35,Música
174,COCINAR Y DIBUJAR,Josefina Jolly,Argentina,Quiero hacer un libro de recetas con dibujitos,21716,118,57700,649,Editorial
175,CD HELLENA,Hellena,Brasil,Gravação do primeiro CD da banda Hellena com onze faixas inéditas,47481,117,3500,60,Música
176,"LAVIAL ""LA GIRA""",lau hita,Argentina,"LAVIAL, la banda electropop surgida en 2011, planea su primera gira internacional y para lograrlo necesita de tu colaboración!! XOXO",7663,117,8100,37,Música
177,FÉ MENINA,luciana oliveira,Brasil,Gravação do videoclipe e da música Fé Menina de Luciana Oliveira.,32069,117,6100,48,Cine y video
178,RECONOCER LA VIOLENCIA,MerCh,Argentina,"Libro ilustrado para transmitir de forma simple conceptos que ayudan a prevenir la violencia, público amplio. 48 páginas a color. 24 x 24 cm",76504,117,2700,49,Editorial
179,"SAL A JUGAR, EL LIBRO",Pedro Urzúa,Chile,Quiero compartir mis ideas con el mundo a través de mi primer cuento ilustrado.,33520,117,8800,52,Editorial
180,"""CEREMONIA SIN FLORES""",Sebav,Argentina,"""Ceremonia sin flores"" es la opera prima de la Compañía SomoS. Es generado a partir de ideas propias y es nuestro deseo verlo terminado.",3464,117,5600,20,Artes escénicas
181,EL SHOW DE LA BRONCA,Algán Producciones Escénicas,Argentina,La propuesta escénica de Ale Ibarra integra la danza y el teatro: 7 hombres y 1 mujer en un espacio despojado palpitan la ira del ser urbano,13415,117,4500,80,Artes escénicas
182,"""CHICOS MALOS"" SHOW TEATRAL",GabrielGavila,Argentina,CHICOS MALOS es un procedimiento teatral protagonizado por un puñado de machos de distintas etnias. Un Show Freak Teatral de Gabriel Gavila,3797,116,8200,127,Artes visuales
183,VLADI,catibeliera,Argentina,"Vladi es una historia de Ciencia ficción, que trata del control que ejerce el sistema sobre las personas y aquellos que intentan liberarse.",3049,116,11400,721,Cine y video
184,MALDITA AMIGA,Miaufilms,Chile,Un cortometraje sobre una noche en las vidas dos amigas que forman parte de una banda de punk feminista en el Valparaíso underground actual.,11698,116,6900,13,Cine y video
185,COMEDIA ZEN,Alejandro Angelini,Argentina,"Curso de Comedia Stand Up . Por Alejandro Angelini, Pionero de la enseñanza de Stand Up y maestro de profesionales en Argentina y Uruguay.",15278,116,13700,89,Editorial
186,LANZAMOS NUESTRO TERCER DISCO,Carnavale di Vendetta,Argentina,"Estamos en plena grabación de ""Malinche"" y lanzamos su venta en Ideame. Comprá la primera edición limitada. Hay baile garantizado!",5699,116,5300,67,Música
187,LA NAVE SANTA MATRIA DESPEGA,Santa Matria,Chile,"Campañar para financiar el Ep ""Kiltroamericano"" Jazz Rock y Hip-Hop en formato banda.",33177,116,1500,8,Música
188,TE JUEGO LA VIDA,Facundo Mounes,Argentina,Un libro con la recopilación de notas y cuentos acerca de los videojuegos que he hecho en los últimos 12 años.,1886,115,15200,95,Juegos
189,¡SUMATE A ANYBODY THERE!,MaryGui,Argentina,Te invitamos a unirte a la realización del primer álbum de estudio de Anybody There!!!,4520,115,14600,56,Música
190,"PINTORES, JUEGO DE NAIPES",Frick it,Argentina,Juego de naipes Pintores. Un breve ensayo sobre algunos pintores del siglo XX. Conocé y jugá con los grandes artistas de las vanguardias.,12402,115,14100,78,Diseño
191,PIEDRA LIBRE. DANZA Y MEMORIA,Alejandra Vassallo y Pia Sicardi,Argentina,Un documental que narra los recorridos de la memoria por la justicia y la verdad a través del lenguaje ancestral de la danza afroamericana.,180003,115,25900,113,Cine y video
192,MARUJA ENAMORADA,Maruja Bustamante,Argentina,Biodrama en construcción sobre la historia amorosa de Maruja Bustamante Dirección: Vivi Tellas. Actuan: Iti el Hermoso y Maruja Bustamante,1879,115,11700,32,Artes escénicas
193,UN EJERCICIO PARA NO OLVIDAR,Bosisio Gabriel,Argentina,"¿Son verdaderas nuestras memorias o elegimos que recordar? Un film visualmente impactante sobre las fantasías, los sueños y el amor.",6618,115,11500,36,Cine y video
194,HISTORIAS MEDICINALES,Payasos Medicinales,Uruguay,"5 años de historias de payasos de hospital contadas por pacientes y payasos e ilustradas por artistas de Uruguay, Argentina y México.",49130,115,10900,77,Editorial
195,LIBRO: DEL GRITO A LA CREACIÓN,Rayen Castillo Salazar,Chile,"El libro ""Del grito a la creación: la disconformidad como alma de la dramaturgia"" trata sobre la sistematización pedagógica de Juan Radrigan",23167,115,6600,7,Editorial
196,DOCUMENTAL 9.70,Victoria Solano,Argentina,El documental relata la historia de un grupo de campesinos a los que el Gobierno de Colombia le incautó y destruyó 70 toneladas de arroz.,15129,115,85100,288,Cine y video
197,EL EXTERIOR - LARGOMETRAJE,fran22,Argentina,"Primer largometraje de ficción de Perro Nube Audiovisuales. Una película de montaña con historias de escaladores, cazadores y cóndores.",5673,115,6500,29,Cine y video
198,LA IRA DE DIOS ESPACIO DE ARTE,La Ira de Dios,Argentina,"Ayudá a convertir un galpón en Villa Crespo (Buenos Aires) en un espacio de arte contemporáneo con estudios, exposiciones y cursos.",11297,115,14900,152,Artes visuales
199,HABITACIÓN COMPARTIDA,Pablo Sombrero,Argentina,Libro de fotografía en blanco y negro.,41357,115,7800,113,Artes visuales
200,DVD DE SIMÓN FUGA,simonfuga,Argentina,"Estamos juntando dinero para poder editar nuestro primer DVD, grabado en vivo durante las sesiones de ""After Chabán"", nuestro primer disco.",52150,114,13500,97,Artes visuales
201,NOS AYUDAS Y TAMBIÉN AHORRAS,Ballenita Mozambique,Argentina,"Ballenita es la 1º orquesta argentino-cubana de Arg. que toca Mozambique. Ya grabamos el CD, ahora necesitamos ayuda para poder editarlo!",3752,114,4800,35,Música
202,DÍA LIBRE - SERIE WEB,Dia Libre,Argentina,"DÍA LIBRE es una Serie Web de Ciencia Ficción, realizada como tesis de la carrera de Diseño de Imagen y Sonido.",6739,114,10900,722,Cine y video
203,RAMAL BOLIVIA / SERIE,Grupo Once,Argentina,"Un colectivo de linea, 5 pasajeros y 7 días para llegar a Bolivia.",4477,114,17500,12,Cine y video
204,NI EN LA + OSCURA D MIS TARDES,Ana Valiente,México,NI EN LA MÁS OSCURA DE MIS TARDES es uno de los largometrajes de ficción a realizarse durante FIRA.,45950,114,3300,21,Cine y video
205,CIUDAD ALTERNA VOL III,Ciudad Alterna,Argentina,Un festival de cultura rock gratuito y sin fines de lucro. Ahora queremos ser el primero en la Argentina co-financiado por el público.,5993,114,19400,190,Música
206,3 CANCIONES NO ALCANZAN!!,Bigolates de Chocote,Argentina,"Comprá tu disco de Bigolates en esta pre-venta exclusiva. Elegí una recompensa, cómo pagarla y ya estás ayudándonos a terminar el cd.",4505,114,8700,83,Música
207,EL SECRETO DE LUCÍA,Inesgroba,Argentina,"El primer libro álbum para niños sobre Ayurveda. Una historia inspirada en esta ciencia, ilustrada en acuarelas, y con un mini glosario.",16781,114,9900,130,Editorial
208,¡TEATRO URGENTE TE NECESITA!,Teatro Urgente,Chile,"Anthropos busca, a partir de distintas situaciones, reflexionar en torno a las relaciones y el comportamiento humano.",13099,114,2900,22,Artes escénicas
209,NI TODA LA LLUVIA DEL SUR TEPT,Pony Lane,Chile,"Primer montaje de la Cía Teatro del Fin, enmarcada en el XIX Festival Víctor Jara de los estudiantes de U. de Chile. Del 12 al 14 de Octubre",11497,114,2400,17,Artes escénicas
210,VIVÍ CUBA - CRÓNICAS DE VIAJE,Nacho,Argentina,"Compilado de crónicas por la revolución cubana. Testimonios, paisajes, debates, vida cotidiana. Una aproximación a la Cuba del siglo XXI.",4668,114,13900,76,Editorial
211,ILSE: INSTANTÁNEAS,Tata Chada,Argentina,"Se trata de un documental fotográfico sobre la vida en mi secundaria, intentando sacar de lo cotidiano algo único.",4098,114,5100,46,Editorial
212,#ELARTEDENEGAR - EL LIBRO,angiesammartino,Argentina,#ELArteDeNegar puede ser la primera novela argentina que nace en redes sociales y traspasa el mundo virtual.,33611,114,28800,325,Editorial
213,EL ARCA BY PAZ MACHADO,Paz Machado,Argentina,Libro de cuentos autónomos que abarcan diversos temas de interés general.,7484,114,4800,42,Editorial
214,VOLVER A HABITAR,luxor,Argentina,"Nos proponemos realizar una serie de murales y pintadas en barrios de la ciudad de La Plata, buscando generar dialogos con los vecinos/as",2958,113,16000,74,Cine y video
215,EL PRIMER DISCO DE CERVEZAC.,Cerveza Cindor,Argentina,"Somos 5 amigos intentando llegar a nuestro sueño alcanzable. Para eso, contanos el tuyo y de paso, ayudanos a que nazcan nuestras canciones.",4456,113,14000,271,Cine y video
216,QUIÉN MATÓ A MARIANO FERREYRA?,Juan Ojo,Argentina,La película relata la travesía de un periodista por encontrar a los autores de un crimen que conmocionó a la Argentina.,18481,113,18400,122,Cine y video
217,GRUPO BANTÚ GRABA SU DISCO,Grupo de Candombe Bantu,Argentina,Después de 13 años encaramos como proyecto la grabación del disco y para esto contamos con tu ayuda.,7418,113,6200,66,Música
218,GRABEMOS UN EP!!!,Rodri Posse!,Argentina,"Grabar es muuuy caro, por eso te invito a financiar mi primer EP. Escucha las canciones en formato acústico y elige tu propia aventura!!!",7435,113,6100,32,Música
219,QUASE-MEMÓRIA,A Digna Companhia,Brasil,Incentive a realização deste espetáculo! Seja um colaborador da arte!,11505,113,4000,46,Artes escénicas
220,"""SAUDADES""",Saudades,México,3 paises + 2 personas + 1 sueño de vida en conjunto = 1 libro de amor para compartir y 1 causa para ayudar. ¡Súmate!,89245,113,11800,128,Editorial
221,"LIBRO ""ESCENARIO TIERRA""",airarrazavala,Chile,Hola! Este proyecto busca editar un libro de poesías de mi autoría propia. ¡Bienvenido! TW: @escenariotierra facebook.com/escenariotierra,48764,113,9900,47,Editorial
222,PROYECTO NUM,Proyecto NUM,Argentina,#NiUnaMenos // Recuperemos la imaginación para cambiar la historia,55768,113,29700,299,Editorial
223,GRAVAÇÃO DO CD DA BANDA CRATS,Crats,Brasil,"Mixagem, masterização e prensagem do CD de música instrumental da banda Crats.",22404,113,5800,38,Música
224,"LEXTER, LA OLA PERFECTA!",Luis Diaz,Argentina,LEXTER es el primer largometraje protagonizado por Pablo Fábregas y el segundo que realiza Luis Diaz. Una pelicula sobre la radio y el rock.,12984,113,21000,81,Cine y video
225,UN CINE EN CONCRETO,Maria Luz Ruciello,Argentina,Finalizar el documental de “Un cine en concreto” y recaudar dinero para comprar un proyector 3D para el cine de Omar.,13007,113,17300,125,Cine y video
