,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
94,LUZ,Ulises Puiggros,Argentina,"MEDIOMETRAJE ¿QUE HARIAS POR TU PADRE? Cuando el amor es nocivo, cual es tu salida? Basada en hechos reales. Nos ayudas?",mediometraje harias padre amor nocivo salida basada hechos reales ayudas, reales   harias padre ,8538,130,12800,53,Artes visuales
95,RISA FEST,Rafael Dante,Argentina,La calle es es de todos. Embellecerla es nuestro deber. Puerto Madryn se merece un Festival Internacional de Artistas callejeros a la gorra.,calle embellecerla deber puerto madryn merece festival internacional artistas callejeros gorra, embellecerla   artistas callejeros ,21307,130,13300,41,Artes escénicas
96,DISCO SAFE & SOUND-MARIA CUETO,mariacueto,Argentina,"Ayudá a terminar la producción del primer disco de Maria Cueto ""Safe and Sound"" Sé parte del proyecto!",ayudá terminar producción primer disco maria cueto safe sound sé parte proyecto, terminar   cueto safe ,57048,129,12700,51,Música
97,CLIPE JESUS,Banda Ganeshas,Brasil,"Para quem ainda não nos conhece, somos uma banda independente carioca que toca rock/mpb/pop/alternativa/folk/o-que-mais-der-na-telha.",ainda conhece banda independente carioca toca rockmpbpopalternativafolkoquemaisdernatelha, conhece   carioca toca ,5217,129,3600,27,Música
98,EL LIBRO DE DIBUJANTIS,Dibujantis,Argentina,"Quisiera que me ayudes a imprimir el compilado de mis dibujantis, que te los lleves a tu casa, y que los disfrutes! :)",quisiera ayudes imprimir compilado dibujantis lleves casa disfrutes, casa   ayudes imprimir ,12693,129,24500,222,Editorial
99,STATUS (REVISTA DE IMPRO),Feña Ortalli,Argentina,Status es una revista virtual sobre Improvisación Teatral que cuenta con 27 ediciones y con más de 500 suscriptores en todo el mundo.,status revista virtual improvisación teatral cuenta ediciones suscriptores mundo, revista   ediciones suscriptores ,2123,129,9200,59,Editorial
100,SOLTERAS & PERTURBADAS,cintiaperezaguero@gmail.com,Argentina,Solteras & Perturbadas es la recopilación de los textos de mi blog,solteras perturbadas recopilación textos blog, perturbadas   recopilacion textos ,8464,129,3500,34,Editorial
101,CADA DÍA UNA COPITA VOL2,Paio,Argentina,"""Cada día una copita"" vol. 2 es una recopilación de viñetas de humor gráfico realizadas entre 2011 y 2013 x Paio Zuloaga.",cada día copita vol recopilación viñetas humor gráfico realizadas x paio zuloaga, grafico   dia   humor ,10536,128,13900,106,Editorial
102,CD JOANA QUEIROZ QUARTETO,Joana Queiroz,Brasil,"Gravação do disco ""Joana Queiroz Quarteto"" com encarte feito pelo artista Raimundo Peres.",gravação disco joana queiroz quarteto encarte feito artista raimundo peres, raimundo   disco joana ,31280,128,4100,54,Música
103,HAY MILANESA!,Gorfinkel,Argentina,128 páginas de humor y dibujitos.,páginas humor dibujitos, dibujitos ,20085,128,21700,270,Editorial
104,¿QUIÉN MATÓ A NISMAN?,Pablo Duggan,Argentina,Es un libro de investigación sobre la muerte del fiscal federal Alberto Nisman.,libro investigación muerte fiscal federal alberto nisman, alberto   investigacion muerte ,105365,128,31800,580,Editorial
105,AYUDANOS A LANZAR NUESTRO CD,Capella Peregrina,Argentina,"Hola, somos Capella Peregrina, hemos concretado el sueño de grabar y ahora necesitamos dar el siguiente paso: lanzar nuestro primer CD",hola capella peregrina concretado sueño grabar ahora necesitamos dar siguiente paso lanzar primer cd, lanzar   capella peregrina ,33562,128,2900,37,Música
106,ISABEL - TESIS ENERC,anakohring,Argentina,Somos un grupo estudiantes de la ENERC y necesitamos financiamiento para filmar nuestra Tesis Isabel.,grupo estudiantes enerc necesitamos financiamiento filmar tesis isabel, estudiantes   filmar tesis ,12549,128,3100,38,Cine y video
107,"CINESCALAS, LA PELÍCULA",Milagros Amondaray,Argentina,"El documental que muestra cómo el blog unió a muchas personas alrededor de todo el país, excediendo los límites de lo virtual",documental muestra cómo blog unió muchas personas alrededor país excediendo límites virtual, limites   muestra   excediendo ,8366,128,15400,78,Cine y video
108,PRIMER DISCO DE AQVILES,Aqviles Rock,Chile,Queremos invitarte a ser parte de la grabación y edición de nuestro primer disco y ayudarnos a cumplir este sueño.,queremos invitarte ser parte grabación edición primer disco ayudarnos cumplir sueño, invitarte   ayudarnos cumplir ,14586,127,7100,19,Música
109,LIBRO JORGE DE LOS RIOS,Adrian Paglini,Argentina,"Libro que recopila historia y mejores trabajos del artista que realizó figuritas, tapas de Anteojito y Canal TV e infinidad de caricaturas.",libro recopila historia mejores trabajos artista realizó figuritas tapas anteojito canal tv infinidad caricaturas, anteojito   recopila historia ,37451,127,24100,87,Editorial
110,SINUOSOS & DORADOS MÉDANOS,sinuososydorados,Argentina,Un grupo de artistas de un pueblo de 5000 habitantes situado al comienzo de la Patagonia convive con la utopía de no abandonarlo.,grupo artistas pueblo habitantes situado comienzo patagonia convive utopía abandonarlo, artistas   utopia   convive ,4159,127,11300,42,Artes visuales
111,AGENDA PUM PUM 2014,PUM PUM,Argentina,Agenda Pum Pum 2014. ilustrada y diseñada en todos sus detalles. Con tu ayuda sumamos para que la Agenda nos acompañe todo el año!,agenda pum pum ilustrada diseñada detalles ayuda sumamos agenda acompañe año, agenda pum   acompane ,18789,127,43500,343,Artes visuales
112,HARALD & REGINA,marinaleon,Argentina,"Un cuento ilustrado sobre la historia de mis abuelos, dos eternos novios.",cuento ilustrado historia abuelos eternos novios, ilustrado   abuelos eternos ,6258,127,15400,87,Editorial
113,CASAMIENTO,Laura Loredo Rubio,Argentina,"Ex pareja se reencuentra en el casamiento de sus respectivos padres. Se conocieron por ellos. Ella aún lo ama, él viene con su nueva novia.",ex pareja reencuentra casamiento respectivos padres conocieron aún ama viene nueva novia, nueva   reencuentra casamiento ,2075,127,7400,38,Artes escénicas
114,SANTOS DE YESO,Nico Sorrivas,Argentina,Necesitamos tu ayuda para terminar de armar la escenografía y el vestuario de nuestra obra. Estrenamos en Septiembre!,necesitamos ayuda terminar armar escenografía vestuario obra estrenamos septiembre, ayuda   obra estrenamos ,4565,127,8300,151,Artes escénicas
115,"LIBRO ""PROYECTO MANICOMIO""",jsequeira,Argentina,Un libro para humanizar la medicina y la salud.,libro humanizar medicina salud, libro humanizar medicina ,10162,126,2300,56,Editorial
116,GIRA DE MIEL :: SOFÍA Y JULIAN,Julian Mourin y Sofia Urruti,Argentina,Una pareja de músicos y un viaje de 3 meses por la Argentina dando un taller gratuito de música popular argentina para niños y recitales.,pareja músicos viaje meses argentina dando taller gratuito música popular argentina niños recitales, argentina   musicos viaje ,6194,126,12600,51,Música
117,LIBRO SOBRE WITOLD GOMBROWICZ,Congreso Gombrowicz,Argentina,Queremos editar un libro con las 40 ilustraciones originales de la muestra del I Congreso Internacional Witold Gombrowicz.,queremos editar libro ilustraciones originales muestra congreso internacional witold gombrowicz, editar   internacional witold ,8288,126,19300,146,Artes visuales
118,AGUA DULCE,ideas liquidas,Argentina,"agua dulce, una obra de teatro.",agua dulce obra teatro, teatro ,2065,126,7600,25,Artes visuales
119,LOS 3 DISCOS DE JULIO Y AGOSTO,julioyagosto,Argentina,"Somos Julio y Agosto, una banda de Bs. As. Argentina. Necesitamos tu colaboración para fabricar nuestros 3 discos. julioyagosto.bandcamp.com",julio agosto banda bs argentina necesitamos colaboración fabricar discos julioyagostobandcampcom, agosto   necesitamos   discos ,10307,126,23700,285,Música
120,PAREDÓN,Autobombo Compañía Teatral,Argentina,El nuevo grotesco de la Compañía Teatral Autobombo necesita de tu colaboración.,nuevo grotesco compañía teatral autobombo necesita colaboración, grotesco   autobombo necesita ,10343,126,9200,90,Artes escénicas
121,OJALÁ VUELVA CUALCA!,Cualca,Argentina,Queremos hacer la segunda temporada de CUALCA! ¿Nos ayudás?,queremos hacer segunda temporada cualca ayudás, hacer   temporada cualca ,80247,125,299600,2331,Cine y video
122,DISCO VERDE DE RODRIGO ROBLES,RODRIGO ROBLES,México,El Disco Verde se editará en un empaque 100% reciclado que incluirá un papel semilla que podrás plantar para darle vida a un árbol.,disco verde editará empaque reciclado incluirá papel semilla podrás plantar darle vida árbol, verde   darle vida ,165717,125,30300,101,Diseño
123,CHICAS AMPLIFICADAS 2019,chicasamplificadas,Argentina,"Segunda Colonia de rock para niñas y adolescentes de Argentina!Crearán sus bandas, sus propios temas y participaran de diferentes talleres",segunda colonia rock niñas adolescentes argentinacrearán bandas propios temas participaran diferentes talleres, colonia   participaran diferentes ,20539,125,6800,118,Música
124,O CAPA-BRANCA | JUQUERY,Daniel Navarro,Brasil,"Livro surpreendente sobre as memórias de ex-funcionário que também foi paciente do Complexo Hospitalar Juquery, em Franco da Rocha",livro surpreendente memórias exfuncionário paciente complexo hospitalar juquery franco rocha, surpreendente   franco   memorias ,22909,125,15200,74,Editorial
125,ANTARES DESPUÉS DE LA LUZ,cia.ladogna,Chile,"Tercer montaje de la Cía. la Doña, dirigida por Videla's Bros y escrita por Enrique Videla. AYÚDANOS A FINANCIAR NUESTRA ESCENOGRAFÍA!!!",tercer montaje cía doña dirigida videlas bros escrita enrique videla ayúdanos financiar escenografía, videlas   videla   montaje   financiar ,28744,125,10700,61,Artes escénicas
126,FERNANDO GARCÍA CURTEN - LIBRO,Milena Caserola Editorial,Argentina,El libro busca dar cuenta de la vida y la obra de uno de los artistas argentinos más secretamente reconocidos de los últimos años.,libro busca dar cuenta vida obra artistas argentinos secretamente reconocidos últimos años, ultimos   busca   reconocidos ,12320,125,8400,110,Editorial
127,VOLANTÍN AL VIENTO,victor,Chile,"Disco musical (CD) póstumo del cantautor penquista (Chile) Patricio ""Silvio"" Escobar",disco musical cd póstumo cantautor penquista chile patricio silvio escobar, cantautor   patricio silvio ,17847,124,6700,35,Música
128,LA GRAN TENTACIÓN,Elisa Naranja Metalica Insua,Argentina,"Gran escultura barroca y sobrecargada, con forma de helado en cono, representando las tentaciones, placeres y vicios de la vida moderna",gran escultura barroca sobrecargada forma helado cono representando tentaciones placeres vicios vida moderna, escultura   vicios vida ,5628,124,13700,29,Artes visuales
129,A GAIVOTA,A Gaivota,Brasil,"Espetáculo A Gaivota, texto de Tchekhov EM CENA.",espetáculo gaivota texto tchekhov cena, gaivota texto tchekhov ,6046,124,6300,30,Artes escénicas
130,TRAPALANDA / NUEVO DISCO,nachoragone,Argentina,"Con tu colaboración vamos a poder terminar nuestro segundo disco ""La Cabeza de Goliat""",colaboración vamos poder terminar segundo disco cabeza goliat, cabeza   vamos poder ,14262,124,7100,63,Música
131,¡TAMBORCIT@S GRABANDO!,Luciano Molina,Argentina,"Grabamos nuestro primer disco, un disco para toda la familia con 10 canciones de María Elena grabado por los chic@s de Los Tamborcit@s.",grabamos primer disco disco toda familia canciones maría elena grabado chics tamborcits, disco   grabado chics ,13000,124,6200,113,Música
132,"AYURVEDA, RECETARIO ESTACIONAL",Andi Vatika,Argentina,"Ayurveda Filosofía y Recetario Estacional es un libro pensado para acercar la filosofía Ayurveda a todos, de una forma sencilla y divertida.",ayurveda filosofía recetario estacional libro pensado acercar filosofía ayurveda forma sencilla divertida, filosofia   forma sencilla ,16324,124,21700,87,Editorial
133,OTRO CAMINO,LimaLimones,Argentina,"Otro Camino es una obra independiente de danza contemporánea, necesitamos montar escenografía y realizar los vestuarios ¿Nos ayudas?",camino obra independiente danza contemporánea necesitamos montar escenografía realizar vestuarios ayudas, obra   realizar vestuarios ,2010,123,2800,11,Artes escénicas
134,"""SOÑAR SOÑAR"" EL VIDEO CLIP",Como Diamantes Telepáticos,Argentina,"Hola! somos Como Diamantes Telepáticos, una banda Argentina. Necesitamos de TU COLABORACIÓN para terminar de filmar nuestro video, GRACIAS!",hola diamantes telepáticos banda argentina necesitamos colaboración terminar filmar video gracias, diamantes   filmar video ,4036,123,8800,48,Cine y video
135,MAÑANA SERÁ HISTORIA.,Marco Teruggi,Argentina,"Se trata de un diario que narra la vida actual en Venezuela, sus acontecimientos políticos, económicos, personales, sus paisajes y gente.",trata diario narra vida actual venezuela acontecimientos políticos económicos personales paisajes gente, paisajes   diario narra ,24183,123,6400,73,Editorial
136,LOS IDIOTAS,maruceballos,Argentina,libro con ilustraciones sobre 58 personas que cedieron su peor cara para comprobar qué decimos sobre nosotros mismos en las redes sociales,libro ilustraciones personas cedieron peor cara comprobar decimos mismos redes sociales, ilustraciones   mismos redes ,8285,123,25300,149,Editorial
137,NUEVO DISCO PARA LIVINGSTONE,alvarovilca,Chile,Livingstone graba su segundo disco y quiere que todos sean parte del último proceso que involucra la mezcla y masterización del disco.,livingstone graba segundo disco quiere parte último proceso involucra mezcla masterización disco, graba segundo disco ,53083,123,8100,94,Música
138,LOS MUTANTES DEL PARANÁ,Mutantes Del Parana,Argentina,Los Mutantes del Paraná combinan elementos del rock con folclore de distintos puntos del globo.,mutantes paraná combinan elementos rock folclore distintos puntos globo, puntos   parana combinan ,2827,123,8900,39,Música
139,ASTRONAUTAS EN LA PLAYA,Marcela Parra,Chile,"Con tu ayuda realizaremos ""Astronautas en la playa""; 1er. LP de Marcela Parra. Esa canción nueva que buscas y no encuentras...¡grabémosla!",ayuda realizaremos astronautas playa 1er lp marcela parra canción nueva buscas encuentrasgrabémosla, realizaremos astronautas   parra ,15788,122,8700,33,Música
140,PRIMERAS. ASÍ EN PLURAL.,Julieta Longo,Argentina,Libro ilustrado sobre las primeras mujeres que en Argentina hicieron cosas y pelearon por lugares donde antes sólo había varones.,libro ilustrado primeras mujeres argentina hicieron cosas pelearon lugares sólo varones, solo   ilustrado   lugares ,23954,122,3600,112,Editorial
141,ENTRE LAS HOJAS QUE CANTAN,Diente de León,Argentina,La vida de María Elena Walsh en un libro ilustrado.,vida maría elena walsh libro ilustrado, maria   walsh libro ,78256,122,16500,391,Editorial
142,AYÚDANOS A SALIR AL AIRE!,radio LaCentral Radio online,Chile,Somos una radio online hecha a mano. Conversamos de lo cotidiano y con pura buena música. ¡Refresca tu mirada con radio LaCentral!,radio online hecha mano conversamos cotidiano pura buena música refresca mirada radio lacentral, radio   cotidiano pura ,87633,122,13400,84,Editorial
143,ANUARIO MUTIS 2013,Juan Ignacio Cornejo,Chile,"Para cerrar nuestra primera temporada, queremos compartir lo mejor de nuestro trabajo con un anuario que resume lo mejor del 2013.",cerrar primera temporada queremos compartir mejor trabajo anuario resume mejor, mejor   primera temporada ,20936,122,13700,127,Editorial
